city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Stockholms,Ulvsunda,Norrbyvägen,16,Norrbyvägen 16,2,34,1750000,25,juni,2019,995000,3111,LägenhetLägenhet,NA,3480,1940,NA, Rune Granlund , Erik Olsson Fastighetsförmedling 
Nacka,Saltsjöbaden,Ekvägen,2,Ekvägen 2a,1,32,1600000,25,juni,2019,1500000,2121,LägenhetLägenhet,NA,6156,1963,NA, Fredrik Notini , Mäklarhuset Enskede 
Stockholms,Norra,Björketorpsvägen,13,Björketorpsvägen 13,1,28,1850000,25,juni,2019,1695000,1850,LägenhetLägenhet,NA,4560,1967,NA, Frida Urciuoli , Erik Olsson Fastighetsförmedling 
Stockholms,Hässelby,Blomsterkungsvägen,116,Blomsterkungsvägen 116A 1 tr,1,27.8,1450000,24,juni,2019,1450000,1560,LägenhetLägenhet,1,3000,2019,NA, Jimmy Solkarin , Fastighetsbyrån Hässelby 
Solna,Näckrosen-Råsunda,Gränsgatan,28,Gränsgatan 28 vån 1,1,36,2470000,24,juni,2019,2495000,2010,LägenhetLägenhet,1,5800,2019,NA, Dennis Sandström , StockholmFast 
Stockholms,Vällingby,Duvedsvägen,5,Duvedsvägen 5,2,59,1950000,24,juni,2019,1950000,3554,LägenhetLägenhet,NA,2400,1955,NA, Josef Gubrail , Länsförsäkringar Fastighetsförmedling Stockholm Vällingby 
Nacka,Orminge,Betsövägen,4,Betsövägen 4,2.5,48,1825000,24,juni,2019,1850000,3118,LägenhetLägenhet,NA,3000,1970,Brf Betsövägen, Göran Kristiansson , Länsförsäkringar Fastighetsförmedling Nacka 
Solna,Järvastaden,Fridensborgsvägen,121,Fridensborgsvägen 121,2,41,2200000,24,juni,2019,2200000,2658,LägenhetLägenhet,NA,3480,2019,NA, Elina Ottosson , Erik Olsson Fastighetsförmedling 
Nacka,Sickla,Sickla Strand,15,Sickla Strand 15,1,26.5,2350000,23,juni,2019,1995000,1093,LägenhetLägenhet,NA,3240,1948,NA, Jessica Larsson , Bjurfors Nacka 
Sundbybergs,Hallonbergen,Lötsjövägen,47,Lötsjövägen 47,1,50.5,1730000,20,juni,2019,1495000,2272,LägenhetLägenhet,NA,NA,1976,NA, Sebastian Scherdin , Fastighetsbyrån Sundbyberg 
Sundbybergs,Brotorp/Järvastaden,Boplatsvägen,13,Boplatsvägen 13,2,42,2350000,20,juni,2019,2295000,2684,LägenhetLägenhet,NA,3700,2018,NA, Alexander Kvist Enderle , Fastighetsbyrån Sundbyberg 
Nacka,Västra,Ormingeringen,74,Ormingeringen 74 1tr ,1.5,37,1700000,20,juni,2019,1495000,2667,LägenhetLägenhet,1,2199,1970,NA, Daniel Eriksson , Fastighetsbyrån Nacka 
Nacka,Nacka,Skarpövägen,55,Skarpövägen 55,3.5,61,1820000,20,juni,2019,1795000,4350,LägenhetLägenhet,NA,4080,NA,NA, Said Said , Svensk Fastighetsförmedling Nacka 
Nacka,Västra,Ormingeringen,79,Ormingeringen 79,3,61,2005000,20,juni,2019,1650000,4164,LägenhetLägenhet,NA,6360,NA,NA, Caroline Hedin fd Baarsen , Svensk Fastighetsförmedling Nacka 
Solna,Gamla,Råsundavägen,133,Råsundavägen 133A,1,25,2220000,20,juni,2019,1995000,1523,LägenhetLägenhet,NA,NA,1940,NA, Linus Wallinder , Svenska Mäklarhuset Solna 
Stockholms,Bromma,Holbergsgatan,100,Holbergsgatan 100,1,42,2120000,20,juni,2019,1790000,2630,LägenhetLägenhet,NA,5040,1952,NA, Andreas Nilsson , Notar 
Stockholms,Vällingby,Abiskovägen,16,Abiskovägen 16,2,58,2410000,20,juni,2019,1995000,2997,LägenhetLägenhet,NA,NA,1954,NA, Johanna Eriksson , Bjurfors VällingbyHässelby 
Stockholms,Blackeberg,Wergelandsgatan,46,Wergelandsgatan 46V,1.5,32,2050000,19,juni,2019,1950000,2349,LägenhetLägenhet,NA,5164,2018,NA, Johannes Örünver , Fastighetsbyrån Bromma 
Nacka,Saltsjöbaden,Fidravägen,35,Fidravägen 35,2,55,2000000,19,juni,2019,1850000,2979,LägenhetLägenhet,NA,NA,NA,NA, Filip Stenbeck , Fastighetsbyrån Nacka 
Stockholms,Söderberga,Söderberga Allé,29,Söderberga Allé 29 ,2,54,1900000,19,juni,2019,1795000,3703,LägenhetLägenhet,NA,4500,1998,NA, Johannes Örünver , Fastighetsbyrån Bromma 
Stockholms,Vasastan,Vulcanusgatan,8,Vulcanusgatan 8 1 tr,1,20,2400000,19,juni,2019,1895000,1126,LägenhetLägenhet,1,4800,1929,NA, Nicola GrezPancetti , Svensk Fastighetsförmedling Sthlm Vasastan 
